index,sub_index,source,theme,all_messages,message_evaluation,Fatalism_DivineControl,Fatalism_Luck,Fatalism_Internality-R,Fatalism_General
2576,sub003,Human,Women Drivers,clarity_hum_wd_03_1,5,2.0,2.0,4.0,2.0
2693,sub003,Human,Women Drivers,clarity_hum_wd_04_1,4,2.0,2.0,4.0,2.0
2810,sub003,Human,Women Drivers,clarity_hum_wd_05_1,5,2.0,2.0,4.0,2.0
2927,sub003,Human,Young Drivers,clarity_hum_yd_01_1,3,2.0,2.0,4.0,2.0
3044,sub003,Human,Young Drivers,clarity_hum_yd_02_1,3,2.0,2.0,4.0,2.0
3161,sub003,Human,Young Drivers,clarity_hum_yd_03_1,4,2.0,2.0,4.0,2.0
3278,sub003,Human,Young Drivers,clarity_hum_yd_04_1,3,2.0,2.0,4.0,2.0
3395,sub003,Human,Young Drivers,clarity_hum_yd_05_1,3,2.0,2.0,4.0,2.0
3,sub004,AI,Migrant Workers,clarity_ai_mw_01_1 ,4,4.83,2.25,2.2,4.0
120,sub004,AI,Migrant Workers,clarity_ai_mw_02_1,3,4.83,2.25,2.2,4.0
237,sub004,AI,Migrant Workers,clarity_ai_mw_03_1,3,4.83,2.25,2.2,4.0
354,sub004,AI,Migrant Workers,clarity_ai_mw_04_1,4,4.83,2.25,2.2,4.0
471,sub004,AI,Migrant Workers,clarity_ai_mw_05_1,4,4.83,2.25,2.2,4.0
588,sub004,AI,Women Drivers,clarity_ai_wd_01_1,3,4.83,2.25,2.2,4.0
705,sub004,AI,Women Drivers,clarity_ai_wd_02_1,4,4.83,2.25,2.2,4.0
822,sub004,AI,Women Drivers,clarity_ai_wd_03_1,2,4.83,2.25,2.2,4.0
939,sub004,AI,Women Drivers,clarity_ai_wd_04_1,3,4.83,2.25,2.2,4.0
1056,sub004,AI,Women Drivers,clarity_ai_wd_05_1,4,4.83,2.25,2.2,4.0
1173,sub004,AI,Young Drivers,clarity_ai_yd_01_1,3,4.83,2.25,2.2,4.0
1290,sub004,AI,Young Drivers,clarity_ai_yd_02_1,4,4.83,2.25,2.2,4.0
1407,sub004,AI,Young Drivers,clarity_ai_yd_03_1,2,4.83,2.25,2.2,4.0
1524,sub004,AI,Young Drivers,clarity_ai_yd_04_1,4,4.83,2.25,2.2,4.0
1641,sub004,AI,Young Drivers,clarity_ai_yd_05_1,4,4.83,2.25,2.2,4.0
1758,sub004,Human,Migrant Workers,clarity_hum_mw_01_1,4,4.83,2.25,2.2,4.0
1875,sub004,Human,Migrant Workers,clarity_hum_mw_02_1,4,4.83,2.25,2.2,4.0
1992,sub004,Human,Migrant Workers,clarity_hum_mw_03_1,4,4.83,2.25,2.2,4.0
2109,sub004,Human,Migrant Workers,clarity_hum_mw_04_1,4,4.83,2.25,2.2,4.0
2226,sub004,Human,Migrant Workers,clarity_hum_mw_05_1,4,4.83,2.25,2.2,4.0
2343,sub004,Human,Women Drivers,clarity_hum_wd_01_1,4,4.83,2.25,2.2,4.0
2460,sub004,Human,Women Drivers,clarity_hum_wd_02_1,3,4.83,2.25,2.2,4.0
2577,sub004,Human,Women Drivers,clarity_hum_wd_03_1,4,4.83,2.25,2.2,4.0
2694,sub004,Human,Women Drivers,clarity_hum_wd_04_1,4,4.83,2.25,2.2,4.0
2811,sub004,Human,Women Drivers,clarity_hum_wd_05_1,4,4.83,2.25,2.2,4.0
2928,sub004,Human,Young Drivers,clarity_hum_yd_01_1,4,4.83,2.25,2.2,4.0
3045,sub004,Human,Young Drivers,clarity_hum_yd_02_1,4,4.83,2.25,2.2,4.0
3162,sub004,Human,Young Drivers,clarity_hum_yd_03_1,4,4.83,2.25,2.2,4.0
3279,sub004,Human,Young Drivers,clarity_hum_yd_04_1,4,4.83,2.25,2.2,4.0
3396,sub004,Human,Young Drivers,clarity_hum_yd_05_1,4,4.83,2.25,2.2,4.0
4,sub005,AI,Migrant Workers,clarity_ai_mw_01_1 ,4,3.17,3.0,2.2,3.0
121,sub005,AI,Migrant Workers,clarity_ai_mw_02_1,1,3.17,3.0,2.2,3.0
238,sub005,AI,Migrant Workers,clarity_ai_mw_03_1,3,3.17,3.0,2.2,3.0
355,sub005,AI,Migrant Workers,clarity_ai_mw_04_1,4,3.17,3.0,2.2,3.0
472,sub005,AI,Migrant Workers,clarity_ai_mw_05_1,2,3.17,3.0,2.2,3.0
589,sub005,AI,Women Drivers,clarity_ai_wd_01_1,4,3.17,3.0,2.2,3.0
706,sub005,AI,Women Drivers,clarity_ai_wd_02_1,2,3.17,3.0,2.2,3.0
823,sub005,AI,Women Drivers,clarity_ai_wd_03_1,4,3.17,3.0,2.2,3.0
940,sub005,AI,Women Drivers,clarity_ai_wd_04_1,2,3.17,3.0,2.2,3.0
1057,sub005,AI,Women Drivers,clarity_ai_wd_05_1,5,3.17,3.0,2.2,3.0
1174,sub005,AI,Young Drivers,clarity_ai_yd_01_1,2,3.17,3.0,2.2,3.0
1291,sub005,AI,Young Drivers,clarity_ai_yd_02_1,2,3.17,3.0,2.2,3.0
1408,sub005,AI,Young Drivers,clarity_ai_yd_03_1,3,3.17,3.0,2.2,3.0
1525,sub005,AI,Young Drivers,clarity_ai_yd_04_1,3,3.17,3.0,2.2,3.0
1642,sub005,AI,Young Drivers,clarity_ai_yd_05_1,2,3.17,3.0,2.2,3.0
1759,sub005,Human,Migrant Workers,clarity_hum_mw_01_1,5,3.17,3.0,2.2,3.0
1876,sub005,Human,Migrant Workers,clarity_hum_mw_02_1,5,3.17,3.0,2.2,3.0
1993,sub005,Human,Migrant Workers,clarity_hum_mw_03_1,4,3.17,3.0,2.2,3.0
2110,sub005,Human,Migrant Workers,clarity_hum_mw_04_1,4,3.17,3.0,2.2,3.0
2227,sub005,Human,Migrant Workers,clarity_hum_mw_05_1,5,3.17,3.0,2.2,3.0
2344,sub005,Human,Women Drivers,clarity_hum_wd_01_1,4,3.17,3.0,2.2,3.0
2461,sub005,Human,Women Drivers,clarity_hum_wd_02_1,5,3.17,3.0,2.2,3.0
2578,sub005,Human,Women Drivers,clarity_hum_wd_03_1,4,3.17,3.0,2.2,3.0
2695,sub005,Human,Women Drivers,clarity_hum_wd_04_1,5,3.17,3.0,2.2,3.0
2812,sub005,Human,Women Drivers,clarity_hum_wd_05_1,5,3.17,3.0,2.2,3.0
2929,sub005,Human,Young Drivers,clarity_hum_yd_01_1,5,3.17,3.0,2.2,3.0
3046,sub005,Human,Young Drivers,clarity_hum_yd_02_1,2,3.17,3.0,2.2,3.0
3163,sub005,Human,Young Drivers,clarity_hum_yd_03_1,3,3.17,3.0,2.2,3.0
3280,sub005,Human,Young Drivers,clarity_hum_yd_04_1,4,3.17,3.0,2.2,3.0
3397,sub005,Human,Young Drivers,clarity_hum_yd_05_1,5,3.17,3.0,2.2,3.0
5,sub006,AI,Migrant Workers,clarity_ai_mw_01_1 ,5,5.0,3.25,1.8,3.5
122,sub006,AI,Migrant Workers,clarity_ai_mw_02_1,4,5.0,3.25,1.8,3.5
239,sub006,AI,Migrant Workers,clarity_ai_mw_03_1,5,5.0,3.25,1.8,3.5
356,sub006,AI,Migrant Workers,clarity_ai_mw_04_1,5,5.0,3.25,1.8,3.5
473,sub006,AI,Migrant Workers,clarity_ai_mw_05_1,2,5.0,3.25,1.8,3.5
590,sub006,AI,Women Drivers,clarity_ai_wd_01_1,5,5.0,3.25,1.8,3.5
707,sub006,AI,Women Drivers,clarity_ai_wd_02_1,5,5.0,3.25,1.8,3.5
824,sub006,AI,Women Drivers,clarity_ai_wd_03_1,5,5.0,3.25,1.8,3.5
941,sub006,AI,Women Drivers,clarity_ai_wd_04_1,4,5.0,3.25,1.8,3.5
1058,sub006,AI,Women Drivers,clarity_ai_wd_05_1,3,5.0,3.25,1.8,3.5
1175,sub006,AI,Young Drivers,clarity_ai_yd_01_1,5,5.0,3.25,1.8,3.5
1292,sub006,AI,Young Drivers,clarity_ai_yd_02_1,5,5.0,3.25,1.8,3.5
1409,sub006,AI,Young Drivers,clarity_ai_yd_03_1,4,5.0,3.25,1.8,3.5
1526,sub006,AI,Young Drivers,clarity_ai_yd_04_1,5,5.0,3.25,1.8,3.5
1643,sub006,AI,Young Drivers,clarity_ai_yd_05_1,5,5.0,3.25,1.8,3.5
1760,sub006,Human,Migrant Workers,clarity_hum_mw_01_1,5,5.0,3.25,1.8,3.5
1877,sub006,Human,Migrant Workers,clarity_hum_mw_02_1,5,5.0,3.25,1.8,3.5
1994,sub006,Human,Migrant Workers,clarity_hum_mw_03_1,4,5.0,3.25,1.8,3.5
2111,sub006,Human,Migrant Workers,clarity_hum_mw_04_1,4,5.0,3.25,1.8,3.5
2228,sub006,Human,Migrant Workers,clarity_hum_mw_05_1,5,5.0,3.25,1.8,3.5
2345,sub006,Human,Women Drivers,clarity_hum_wd_01_1,5,5.0,3.25,1.8,3.5
2462,sub006,Human,Women Drivers,clarity_hum_wd_02_1,3,5.0,3.25,1.8,3.5
2579,sub006,Human,Women Drivers,clarity_hum_wd_03_1,3,5.0,3.25,1.8,3.5
2696,sub006,Human,Women Drivers,clarity_hum_wd_04_1,5,5.0,3.25,1.8,3.5
2813,sub006,Human,Women Drivers,clarity_hum_wd_05_1,5,5.0,3.25,1.8,3.5
2930,sub006,Human,Young Drivers,clarity_hum_yd_01_1,5,5.0,3.25,1.8,3.5
3047,sub006,Human,Young Drivers,clarity_hum_yd_02_1,4,5.0,3.25,1.8,3.5
3164,sub006,Human,Young Drivers,clarity_hum_yd_03_1,5,5.0,3.25,1.8,3.5
3281,sub006,Human,Young Drivers,clarity_hum_yd_04_1,2,5.0,3.25,1.8,3.5
3398,sub006,Human,Young Drivers,clarity_hum_yd_05_1,5,5.0,3.25,1.8,3.5
6,sub007,AI,Migrant Workers,clarity_ai_mw_01_1 ,5,5.0,2.5,1.4,4.5
123,sub007,AI,Migrant Workers,clarity_ai_mw_02_1,4,5.0,2.5,1.4,4.5
240,sub007,AI,Migrant Workers,clarity_ai_mw_03_1,4,5.0,2.5,1.4,4.5
357,sub007,AI,Migrant Workers,clarity_ai_mw_04_1,5,5.0,2.5,1.4,4.5
474,sub007,AI,Migrant Workers,clarity_ai_mw_05_1,5,5.0,2.5,1.4,4.5
591,sub007,AI,Women Drivers,clarity_ai_wd_01_1,2,5.0,2.5,1.4,4.5
708,sub007,AI,Women Drivers,clarity_ai_wd_02_1,5,5.0,2.5,1.4,4.5
825,sub007,AI,Women Drivers,clarity_ai_wd_03_1,3,5.0,2.5,1.4,4.5
942,sub007,AI,Women Drivers,clarity_ai_wd_04_1,4,5.0,2.5,1.4,4.5
1059,sub007,AI,Women Drivers,clarity_ai_wd_05_1,3,5.0,2.5,1.4,4.5
1176,sub007,AI,Young Drivers,clarity_ai_yd_01_1,5,5.0,2.5,1.4,4.5
1293,sub007,AI,Young Drivers,clarity_ai_yd_02_1,5,5.0,2.5,1.4,4.5
1410,sub007,AI,Young Drivers,clarity_ai_yd_03_1,2,5.0,2.5,1.4,4.5
1527,sub007,AI,Young Drivers,clarity_ai_yd_04_1,4,5.0,2.5,1.4,4.5
1644,sub007,AI,Young Drivers,clarity_ai_yd_05_1,4,5.0,2.5,1.4,4.5
1761,sub007,Human,Migrant Workers,clarity_hum_mw_01_1,5,5.0,2.5,1.4,4.5
1878,sub007,Human,Migrant Workers,clarity_hum_mw_02_1,5,5.0,2.5,1.4,4.5
1995,sub007,Human,Migrant Workers,clarity_hum_mw_03_1,4,5.0,2.5,1.4,4.5
2112,sub007,Human,Migrant Workers,clarity_hum_mw_04_1,5,5.0,2.5,1.4,4.5
2229,sub007,Human,Migrant Workers,clarity_hum_mw_05_1,5,5.0,2.5,1.4,4.5
2346,sub007,Human,Women Drivers,clarity_hum_wd_01_1,5,5.0,2.5,1.4,4.5
2463,sub007,Human,Women Drivers,clarity_hum_wd_02_1,4,5.0,2.5,1.4,4.5
2580,sub007,Human,Women Drivers,clarity_hum_wd_03_1,3,5.0,2.5,1.4,4.5
2697,sub007,Human,Women Drivers,clarity_hum_wd_04_1,5,5.0,2.5,1.4,4.5
2814,sub007,Human,Women Drivers,clarity_hum_wd_05_1,5,5.0,2.5,1.4,4.5
2931,sub007,Human,Young Drivers,clarity_hum_yd_01_1,5,5.0,2.5,1.4,4.5
3048,sub007,Human,Young Drivers,clarity_hum_yd_02_1,5,5.0,2.5,1.4,4.5
3165,sub007,Human,Young Drivers,clarity_hum_yd_03_1,5,5.0,2.5,1.4,4.5
3282,sub007,Human,Young Drivers,clarity_hum_yd_04_1,2,5.0,2.5,1.4,4.5
3399,sub007,Human,Young Drivers,clarity_hum_yd_05_1,5,5.0,2.5,1.4,4.5
7,sub008,AI,Migrant Workers,clarity_ai_mw_01_1 ,3,4.83,2.75,1.4,4.0
124,sub008,AI,Migrant Workers,clarity_ai_mw_02_1,3,4.83,2.75,1.4,4.0
241,sub008,AI,Migrant Workers,clarity_ai_mw_03_1,5,4.83,2.75,1.4,4.0
358,sub008,AI,Migrant Workers,clarity_ai_mw_04_1,4,4.83,2.75,1.4,4.0
475,sub008,AI,Migrant Workers,clarity_ai_mw_05_1,5,4.83,2.75,1.4,4.0
592,sub008,AI,Women Drivers,clarity_ai_wd_01_1,4,4.83,2.75,1.4,4.0
709,sub008,AI,Women Drivers,clarity_ai_wd_02_1,3,4.83,2.75,1.4,4.0
826,sub008,AI,Women Drivers,clarity_ai_wd_03_1,4,4.83,2.75,1.4,4.0
943,sub008,AI,Women Drivers,clarity_ai_wd_04_1,5,4.83,2.75,1.4,4.0
1060,sub008,AI,Women Drivers,clarity_ai_wd_05_1,4,4.83,2.75,1.4,4.0
1177,sub008,AI,Young Drivers,clarity_ai_yd_01_1,4,4.83,2.75,1.4,4.0
1294,sub008,AI,Young Drivers,clarity_ai_yd_02_1,5,4.83,2.75,1.4,4.0
1411,sub008,AI,Young Drivers,clarity_ai_yd_03_1,4,4.83,2.75,1.4,4.0
1528,sub008,AI,Young Drivers,clarity_ai_yd_04_1,4,4.83,2.75,1.4,4.0
1645,sub008,AI,Young Drivers,clarity_ai_yd_05_1,4,4.83,2.75,1.4,4.0
1762,sub008,Human,Migrant Workers,clarity_hum_mw_01_1,5,4.83,2.75,1.4,4.0
1879,sub008,Human,Migrant Workers,clarity_hum_mw_02_1,5,4.83,2.75,1.4,4.0
1996,sub008,Human,Migrant Workers,clarity_hum_mw_03_1,5,4.83,2.75,1.4,4.0
2113,sub008,Human,Migrant Workers,clarity_hum_mw_04_1,5,4.83,2.75,1.4,4.0
2230,sub008,Human,Migrant Workers,clarity_hum_mw_05_1,4,4.83,2.75,1.4,4.0
2347,sub008,Human,Women Drivers,clarity_hum_wd_01_1,5,4.83,2.75,1.4,4.0
2464,sub008,Human,Women Drivers,clarity_hum_wd_02_1,5,4.83,2.75,1.4,4.0
2581,sub008,Human,Women Drivers,clarity_hum_wd_03_1,4,4.83,2.75,1.4,4.0
2698,sub008,Human,Women Drivers,clarity_hum_wd_04_1,5,4.83,2.75,1.4,4.0
2815,sub008,Human,Women Drivers,clarity_hum_wd_05_1,5,4.83,2.75,1.4,4.0
2932,sub008,Human,Young Drivers,clarity_hum_yd_01_1,5,4.83,2.75,1.4,4.0
3049,sub008,Human,Young Drivers,clarity_hum_yd_02_1,4,4.83,2.75,1.4,4.0
3166,sub008,Human,Young Drivers,clarity_hum_yd_03_1,5,4.83,2.75,1.4,4.0
3283,sub008,Human,Young Drivers,clarity_hum_yd_04_1,2,4.83,2.75,1.4,4.0
3400,sub008,Human,Young Drivers,clarity_hum_yd_05_1,4,4.83,2.75,1.4,4.0
8,sub009,AI,Migrant Workers,clarity_ai_mw_01_1 ,5,4.0,3.75,1.6,4.25
125,sub009,AI,Migrant Workers,clarity_ai_mw_02_1,5,4.0,3.75,1.6,4.25
242,sub009,AI,Migrant Workers,clarity_ai_mw_03_1,5,4.0,3.75,1.6,4.25
359,sub009,AI,Migrant Workers,clarity_ai_mw_04_1,5,4.0,3.75,1.6,4.25
476,sub009,AI,Migrant Workers,clarity_ai_mw_05_1,4,4.0,3.75,1.6,4.25
593,sub009,AI,Women Drivers,clarity_ai_wd_01_1,5,4.0,3.75,1.6,4.25
710,sub009,AI,Women Drivers,clarity_ai_wd_02_1,5,4.0,3.75,1.6,4.25
827,sub009,AI,Women Drivers,clarity_ai_wd_03_1,5,4.0,3.75,1.6,4.25
944,sub009,AI,Women Drivers,clarity_ai_wd_04_1,5,4.0,3.75,1.6,4.25
1061,sub009,AI,Women Drivers,clarity_ai_wd_05_1,5,4.0,3.75,1.6,4.25
1178,sub009,AI,Young Drivers,clarity_ai_yd_01_1,5,4.0,3.75,1.6,4.25
1295,sub009,AI,Young Drivers,clarity_ai_yd_02_1,5,4.0,3.75,1.6,4.25
1412,sub009,AI,Young Drivers,clarity_ai_yd_03_1,5,4.0,3.75,1.6,4.25
1529,sub009,AI,Young Drivers,clarity_ai_yd_04_1,5,4.0,3.75,1.6,4.25
1646,sub009,AI,Young Drivers,clarity_ai_yd_05_1,5,4.0,3.75,1.6,4.25
1763,sub009,Human,Migrant Workers,clarity_hum_mw_01_1,5,4.0,3.75,1.6,4.25
1880,sub009,Human,Migrant Workers,clarity_hum_mw_02_1,5,4.0,3.75,1.6,4.25
1997,sub009,Human,Migrant Workers,clarity_hum_mw_03_1,5,4.0,3.75,1.6,4.25
2114,sub009,Human,Migrant Workers,clarity_hum_mw_04_1,5,4.0,3.75,1.6,4.25
2231,sub009,Human,Migrant Workers,clarity_hum_mw_05_1,5,4.0,3.75,1.6,4.25
2348,sub009,Human,Women Drivers,clarity_hum_wd_01_1,5,4.0,3.75,1.6,4.25
2465,sub009,Human,Women Drivers,clarity_hum_wd_02_1,5,4.0,3.75,1.6,4.25
2582,sub009,Human,Women Drivers,clarity_hum_wd_03_1,4,4.0,3.75,1.6,4.25
2699,sub009,Human,Women Drivers,clarity_hum_wd_04_1,5,4.0,3.75,1.6,4.25
2816,sub009,Human,Women Drivers,clarity_hum_wd_05_1,5,4.0,3.75,1.6,4.25
2933,sub009,Human,Young Drivers,clarity_hum_yd_01_1,5,4.0,3.75,1.6,4.25
3050,sub009,Human,Young Drivers,clarity_hum_yd_02_1,4,4.0,3.75,1.6,4.25
3167,sub009,Human,Young Drivers,clarity_hum_yd_03_1,3,4.0,3.75,1.6,4.25
3284,sub009,Human,Young Drivers,clarity_hum_yd_04_1,4,4.0,3.75,1.6,4.25
3401,sub009,Human,Young Drivers,clarity_hum_yd_05_1,5,4.0,3.75,1.6,4.25
9,sub010,AI,Migrant Workers,clarity_ai_mw_01_1 ,5,5.0,5.0,1.0,5.0
126,sub010,AI,Migrant Workers,clarity_ai_mw_02_1,4,5.0,5.0,1.0,5.0
243,sub010,AI,Migrant Workers,clarity_ai_mw_03_1,5,5.0,5.0,1.0,5.0
360,sub010,AI,Migrant Workers,clarity_ai_mw_04_1,4,5.0,5.0,1.0,5.0
477,sub010,AI,Migrant Workers,clarity_ai_mw_05_1,5,5.0,5.0,1.0,5.0
594,sub010,AI,Women Drivers,clarity_ai_wd_01_1,5,5.0,5.0,1.0,5.0
711,sub010,AI,Women Drivers,clarity_ai_wd_02_1,4,5.0,5.0,1.0,5.0
828,sub010,AI,Women Drivers,clarity_ai_wd_03_1,4,5.0,5.0,1.0,5.0
945,sub010,AI,Women Drivers,clarity_ai_wd_04_1,5,5.0,5.0,1.0,5.0
1062,sub010,AI,Women Drivers,clarity_ai_wd_05_1,5,5.0,5.0,1.0,5.0
1179,sub010,AI,Young Drivers,clarity_ai_yd_01_1,5,5.0,5.0,1.0,5.0
1296,sub010,AI,Young Drivers,clarity_ai_yd_02_1,5,5.0,5.0,1.0,5.0
