index,sub_index,source,theme,all_messages,message_evaluation
1695,sub004,AI,Women Drivers,quality_ai_wd_05_1,5.0
1883,sub004,AI,Young Drivers,quality_ai_yd_01_1,5.0
2071,sub004,AI,Young Drivers,quality_ai_yd_02_1,5.0
2259,sub004,AI,Young Drivers,quality_ai_yd_03_1,3.0
2447,sub004,AI,Young Drivers,quality_ai_yd_04_1,4.0
2635,sub004,AI,Young Drivers,quality_ai_yd_05_1,4.0
2823,sub004,Human,Migrant Workers,quality_hum_mw_01_1,5.0
3011,sub004,Human,Migrant Workers,quality_hum_mw_02_1,
3199,sub004,Human,Migrant Workers,quality_hum_mw_03_1,4.0
3387,sub004,Human,Migrant Workers,quality_hum_mw_04_1,4.0
3575,sub004,Human,Migrant Workers,quality_hum_mw_05_1,5.0
3763,sub004,Human,Women Drivers,quality_hum_wd_01_1,4.0
3951,sub004,Human,Women Drivers,quality_hum_wd_02_1,4.0
4139,sub004,Human,Women Drivers,quality_hum_wd_03_1,5.0
4327,sub004,Human,Women Drivers,quality_hum_wd_04_1,5.0
4515,sub004,Human,Women Drivers,quality_hum_wd_05_1,5.0
4703,sub004,Human,Young Drivers,quality_hum_yd_01_1,5.0
4891,sub004,Human,Young Drivers,quality_hum_yd_02_1,5.0
5079,sub004,Human,Young Drivers,quality_hum_yd_03_1,4.0
5267,sub004,Human,Young Drivers,quality_hum_yd_04_1,3.0
5455,sub004,Human,Young Drivers,quality_hum_yd_05_1,5.0
4,sub005,AI,Migrant Workers,quality_ai_mw_01_1,5.0
192,sub005,AI,Migrant Workers,quality_ai_mw_02_1,5.0
380,sub005,AI,Migrant Workers,quality_ai_mw_03_1,5.0
568,sub005,AI,Migrant Workers,quality_ai_mw_04_1,5.0
756,sub005,AI,Migrant Workers,quality_ai_mw_05_1,5.0
944,sub005,AI,Women Drivers,quality_ai_wd_01_1,5.0
1132,sub005,AI,Women Drivers,quality_ai_wd_02_1,5.0
1320,sub005,AI,Women Drivers,quality_ai_wd_03_1,5.0
1508,sub005,AI,Women Drivers,quality_ai_wd_04_1,5.0
1696,sub005,AI,Women Drivers,quality_ai_wd_05_1,5.0
1884,sub005,AI,Young Drivers,quality_ai_yd_01_1,5.0
2072,sub005,AI,Young Drivers,quality_ai_yd_02_1,5.0
2260,sub005,AI,Young Drivers,quality_ai_yd_03_1,5.0
2448,sub005,AI,Young Drivers,quality_ai_yd_04_1,5.0
2636,sub005,AI,Young Drivers,quality_ai_yd_05_1,5.0
2824,sub005,Human,Migrant Workers,quality_hum_mw_01_1,5.0
3012,sub005,Human,Migrant Workers,quality_hum_mw_02_1,
3200,sub005,Human,Migrant Workers,quality_hum_mw_03_1,5.0
3388,sub005,Human,Migrant Workers,quality_hum_mw_04_1,5.0
3576,sub005,Human,Migrant Workers,quality_hum_mw_05_1,5.0
3764,sub005,Human,Women Drivers,quality_hum_wd_01_1,5.0
3952,sub005,Human,Women Drivers,quality_hum_wd_02_1,5.0
4140,sub005,Human,Women Drivers,quality_hum_wd_03_1,5.0
4328,sub005,Human,Women Drivers,quality_hum_wd_04_1,5.0
4516,sub005,Human,Women Drivers,quality_hum_wd_05_1,5.0
4704,sub005,Human,Young Drivers,quality_hum_yd_01_1,5.0
4892,sub005,Human,Young Drivers,quality_hum_yd_02_1,5.0
5080,sub005,Human,Young Drivers,quality_hum_yd_03_1,5.0
5268,sub005,Human,Young Drivers,quality_hum_yd_04_1,5.0
5456,sub005,Human,Young Drivers,quality_hum_yd_05_1,5.0
5,sub006,AI,Migrant Workers,quality_ai_mw_01_1,2.0
193,sub006,AI,Migrant Workers,quality_ai_mw_02_1,1.0
381,sub006,AI,Migrant Workers,quality_ai_mw_03_1,1.0
569,sub006,AI,Migrant Workers,quality_ai_mw_04_1,1.0
757,sub006,AI,Migrant Workers,quality_ai_mw_05_1,1.0
945,sub006,AI,Women Drivers,quality_ai_wd_01_1,1.0
1133,sub006,AI,Women Drivers,quality_ai_wd_02_1,1.0
1321,sub006,AI,Women Drivers,quality_ai_wd_03_1,1.0
1509,sub006,AI,Women Drivers,quality_ai_wd_04_1,2.0
1697,sub006,AI,Women Drivers,quality_ai_wd_05_1,1.0
1885,sub006,AI,Young Drivers,quality_ai_yd_01_1,1.0
2073,sub006,AI,Young Drivers,quality_ai_yd_02_1,1.0
2261,sub006,AI,Young Drivers,quality_ai_yd_03_1,1.0
2449,sub006,AI,Young Drivers,quality_ai_yd_04_1,1.0
2637,sub006,AI,Young Drivers,quality_ai_yd_05_1,1.0
2825,sub006,Human,Migrant Workers,quality_hum_mw_01_1,1.0
3013,sub006,Human,Migrant Workers,quality_hum_mw_02_1,
3201,sub006,Human,Migrant Workers,quality_hum_mw_03_1,2.0
3389,sub006,Human,Migrant Workers,quality_hum_mw_04_1,1.0
3577,sub006,Human,Migrant Workers,quality_hum_mw_05_1,1.0
3765,sub006,Human,Women Drivers,quality_hum_wd_01_1,1.0
3953,sub006,Human,Women Drivers,quality_hum_wd_02_1,2.0
4141,sub006,Human,Women Drivers,quality_hum_wd_03_1,1.0
4329,sub006,Human,Women Drivers,quality_hum_wd_04_1,1.0
4517,sub006,Human,Women Drivers,quality_hum_wd_05_1,1.0
4705,sub006,Human,Young Drivers,quality_hum_yd_01_1,1.0
4893,sub006,Human,Young Drivers,quality_hum_yd_02_1,1.0
5081,sub006,Human,Young Drivers,quality_hum_yd_03_1,1.0
5269,sub006,Human,Young Drivers,quality_hum_yd_04_1,1.0
5457,sub006,Human,Young Drivers,quality_hum_yd_05_1,1.0
6,sub007,AI,Migrant Workers,quality_ai_mw_01_1,5.0
194,sub007,AI,Migrant Workers,quality_ai_mw_02_1,4.0
382,sub007,AI,Migrant Workers,quality_ai_mw_03_1,4.0
570,sub007,AI,Migrant Workers,quality_ai_mw_04_1,4.0
758,sub007,AI,Migrant Workers,quality_ai_mw_05_1,5.0
946,sub007,AI,Women Drivers,quality_ai_wd_01_1,5.0
1134,sub007,AI,Women Drivers,quality_ai_wd_02_1,5.0
1322,sub007,AI,Women Drivers,quality_ai_wd_03_1,3.0
1510,sub007,AI,Women Drivers,quality_ai_wd_04_1,5.0
1698,sub007,AI,Women Drivers,quality_ai_wd_05_1,3.0
1886,sub007,AI,Young Drivers,quality_ai_yd_01_1,5.0
2074,sub007,AI,Young Drivers,quality_ai_yd_02_1,5.0
2262,sub007,AI,Young Drivers,quality_ai_yd_03_1,3.0
2450,sub007,AI,Young Drivers,quality_ai_yd_04_1,5.0
2638,sub007,AI,Young Drivers,quality_ai_yd_05_1,4.0
2826,sub007,Human,Migrant Workers,quality_hum_mw_01_1,5.0
3014,sub007,Human,Migrant Workers,quality_hum_mw_02_1,
3202,sub007,Human,Migrant Workers,quality_hum_mw_03_1,3.0
3390,sub007,Human,Migrant Workers,quality_hum_mw_04_1,4.0
3578,sub007,Human,Migrant Workers,quality_hum_mw_05_1,5.0
3766,sub007,Human,Women Drivers,quality_hum_wd_01_1,5.0
3954,sub007,Human,Women Drivers,quality_hum_wd_02_1,5.0
4142,sub007,Human,Women Drivers,quality_hum_wd_03_1,4.0
4330,sub007,Human,Women Drivers,quality_hum_wd_04_1,4.0
4518,sub007,Human,Women Drivers,quality_hum_wd_05_1,5.0
4706,sub007,Human,Young Drivers,quality_hum_yd_01_1,4.0
4894,sub007,Human,Young Drivers,quality_hum_yd_02_1,5.0
5082,sub007,Human,Young Drivers,quality_hum_yd_03_1,4.0
5270,sub007,Human,Young Drivers,quality_hum_yd_04_1,4.0
5458,sub007,Human,Young Drivers,quality_hum_yd_05_1,4.0
7,sub008,AI,Migrant Workers,quality_ai_mw_01_1,5.0
195,sub008,AI,Migrant Workers,quality_ai_mw_02_1,5.0
383,sub008,AI,Migrant Workers,quality_ai_mw_03_1,5.0
571,sub008,AI,Migrant Workers,quality_ai_mw_04_1,5.0
759,sub008,AI,Migrant Workers,quality_ai_mw_05_1,5.0
947,sub008,AI,Women Drivers,quality_ai_wd_01_1,5.0
1135,sub008,AI,Women Drivers,quality_ai_wd_02_1,5.0
1323,sub008,AI,Women Drivers,quality_ai_wd_03_1,4.0
1511,sub008,AI,Women Drivers,quality_ai_wd_04_1,5.0
1699,sub008,AI,Women Drivers,quality_ai_wd_05_1,5.0
1887,sub008,AI,Young Drivers,quality_ai_yd_01_1,5.0
2075,sub008,AI,Young Drivers,quality_ai_yd_02_1,5.0
2263,sub008,AI,Young Drivers,quality_ai_yd_03_1,5.0
2451,sub008,AI,Young Drivers,quality_ai_yd_04_1,5.0
2639,sub008,AI,Young Drivers,quality_ai_yd_05_1,5.0
2827,sub008,Human,Migrant Workers,quality_hum_mw_01_1,5.0
3015,sub008,Human,Migrant Workers,quality_hum_mw_02_1,
3203,sub008,Human,Migrant Workers,quality_hum_mw_03_1,5.0
3391,sub008,Human,Migrant Workers,quality_hum_mw_04_1,5.0
3579,sub008,Human,Migrant Workers,quality_hum_mw_05_1,5.0
3767,sub008,Human,Women Drivers,quality_hum_wd_01_1,5.0
3955,sub008,Human,Women Drivers,quality_hum_wd_02_1,5.0
4143,sub008,Human,Women Drivers,quality_hum_wd_03_1,5.0
4331,sub008,Human,Women Drivers,quality_hum_wd_04_1,5.0
4519,sub008,Human,Women Drivers,quality_hum_wd_05_1,5.0
4707,sub008,Human,Young Drivers,quality_hum_yd_01_1,5.0
4895,sub008,Human,Young Drivers,quality_hum_yd_02_1,5.0
5083,sub008,Human,Young Drivers,quality_hum_yd_03_1,5.0
5271,sub008,Human,Young Drivers,quality_hum_yd_04_1,5.0
5459,sub008,Human,Young Drivers,quality_hum_yd_05_1,5.0
8,sub009,AI,Migrant Workers,quality_ai_mw_01_1,5.0
196,sub009,AI,Migrant Workers,quality_ai_mw_02_1,5.0
384,sub009,AI,Migrant Workers,quality_ai_mw_03_1,5.0
572,sub009,AI,Migrant Workers,quality_ai_mw_04_1,5.0
760,sub009,AI,Migrant Workers,quality_ai_mw_05_1,5.0
948,sub009,AI,Women Drivers,quality_ai_wd_01_1,5.0
1136,sub009,AI,Women Drivers,quality_ai_wd_02_1,5.0
1324,sub009,AI,Women Drivers,quality_ai_wd_03_1,5.0
1512,sub009,AI,Women Drivers,quality_ai_wd_04_1,5.0
1700,sub009,AI,Women Drivers,quality_ai_wd_05_1,5.0
1888,sub009,AI,Young Drivers,quality_ai_yd_01_1,5.0
2076,sub009,AI,Young Drivers,quality_ai_yd_02_1,5.0
2264,sub009,AI,Young Drivers,quality_ai_yd_03_1,5.0
2452,sub009,AI,Young Drivers,quality_ai_yd_04_1,5.0
2640,sub009,AI,Young Drivers,quality_ai_yd_05_1,5.0
2828,sub009,Human,Migrant Workers,quality_hum_mw_01_1,5.0
3016,sub009,Human,Migrant Workers,quality_hum_mw_02_1,
3204,sub009,Human,Migrant Workers,quality_hum_mw_03_1,5.0
3392,sub009,Human,Migrant Workers,quality_hum_mw_04_1,5.0
3580,sub009,Human,Migrant Workers,quality_hum_mw_05_1,5.0
3768,sub009,Human,Women Drivers,quality_hum_wd_01_1,5.0
3956,sub009,Human,Women Drivers,quality_hum_wd_02_1,5.0
4144,sub009,Human,Women Drivers,quality_hum_wd_03_1,5.0
4332,sub009,Human,Women Drivers,quality_hum_wd_04_1,5.0
4520,sub009,Human,Women Drivers,quality_hum_wd_05_1,5.0
4708,sub009,Human,Young Drivers,quality_hum_yd_01_1,5.0
4896,sub009,Human,Young Drivers,quality_hum_yd_02_1,5.0
5084,sub009,Human,Young Drivers,quality_hum_yd_03_1,5.0
5272,sub009,Human,Young Drivers,quality_hum_yd_04_1,5.0
5460,sub009,Human,Young Drivers,quality_hum_yd_05_1,5.0
9,sub010,AI,Migrant Workers,quality_ai_mw_01_1,4.0
197,sub010,AI,Migrant Workers,quality_ai_mw_02_1,4.0
385,sub010,AI,Migrant Workers,quality_ai_mw_03_1,5.0
573,sub010,AI,Migrant Workers,quality_ai_mw_04_1,5.0
761,sub010,AI,Migrant Workers,quality_ai_mw_05_1,4.0
949,sub010,AI,Women Drivers,quality_ai_wd_01_1,3.0
1137,sub010,AI,Women Drivers,quality_ai_wd_02_1,4.0
1325,sub010,AI,Women Drivers,quality_ai_wd_03_1,3.0
1513,sub010,AI,Women Drivers,quality_ai_wd_04_1,4.0
1701,sub010,AI,Women Drivers,quality_ai_wd_05_1,3.0
1889,sub010,AI,Young Drivers,quality_ai_yd_01_1,5.0
2077,sub010,AI,Young Drivers,quality_ai_yd_02_1,5.0
2265,sub010,AI,Young Drivers,quality_ai_yd_03_1,5.0
2453,sub010,AI,Young Drivers,quality_ai_yd_04_1,5.0
2641,sub010,AI,Young Drivers,quality_ai_yd_05_1,4.0
2829,sub010,Human,Migrant Workers,quality_hum_mw_01_1,5.0
3017,sub010,Human,Migrant Workers,quality_hum_mw_02_1,
3205,sub010,Human,Migrant Workers,quality_hum_mw_03_1,3.0
3393,sub010,Human,Migrant Workers,quality_hum_mw_04_1,5.0
3581,sub010,Human,Migrant Workers,quality_hum_mw_05_1,4.0
3769,sub010,Human,Women Drivers,quality_hum_wd_01_1,5.0
3957,sub010,Human,Women Drivers,quality_hum_wd_02_1,4.0
4145,sub010,Human,Women Drivers,quality_hum_wd_03_1,5.0
4333,sub010,Human,Women Drivers,quality_hum_wd_04_1,4.0
4521,sub010,Human,Women Drivers,quality_hum_wd_05_1,4.0
4709,sub010,Human,Young Drivers,quality_hum_yd_01_1,3.0
4897,sub010,Human,Young Drivers,quality_hum_yd_02_1,4.0
5085,sub010,Human,Young Drivers,quality_hum_yd_03_1,5.0
5273,sub010,Human,Young Drivers,quality_hum_yd_04_1,4.0
5461,sub010,Human,Young Drivers,quality_hum_yd_05_1,3.0
10,sub011,AI,Migrant Workers,quality_ai_mw_01_1,5.0
198,sub011,AI,Migrant Workers,quality_ai_mw_02_1,5.0
386,sub011,AI,Migrant Workers,quality_ai_mw_03_1,5.0
574,sub011,AI,Migrant Workers,quality_ai_mw_04_1,5.0
762,sub011,AI,Migrant Workers,quality_ai_mw_05_1,5.0
950,sub011,AI,Women Drivers,quality_ai_wd_01_1,5.0
1138,sub011,AI,Women Drivers,quality_ai_wd_02_1,5.0
1326,sub011,AI,Women Drivers,quality_ai_wd_03_1,5.0
1514,sub011,AI,Women Drivers,quality_ai_wd_04_1,5.0
1702,sub011,AI,Women Drivers,quality_ai_wd_05_1,5.0
1890,sub011,AI,Young Drivers,quality_ai_yd_01_1,5.0
2078,sub011,AI,Young Drivers,quality_ai_yd_02_1,5.0
2266,sub011,AI,Young Drivers,quality_ai_yd_03_1,5.0
2454,sub011,AI,Young Drivers,quality_ai_yd_04_1,5.0
2642,sub011,AI,Young Drivers,quality_ai_yd_05_1,5.0
2830,sub011,Human,Migrant Workers,quality_hum_mw_01_1,5.0
3018,sub011,Human,Migrant Workers,quality_hum_mw_02_1,
3206,sub011,Human,Migrant Workers,quality_hum_mw_03_1,5.0
3394,sub011,Human,Migrant Workers,quality_hum_mw_04_1,5.0
3582,sub011,Human,Migrant Workers,quality_hum_mw_05_1,5.0
3770,sub011,Human,Women Drivers,quality_hum_wd_01_1,5.0
3958,sub011,Human,Women Drivers,quality_hum_wd_02_1,5.0
4146,sub011,Human,Women Drivers,quality_hum_wd_03_1,5.0
4334,sub011,Human,Women Drivers,quality_hum_wd_04_1,5.0
4522,sub011,Human,Women Drivers,quality_hum_wd_05_1,5.0
4710,sub011,Human,Young Drivers,quality_hum_yd_01_1,5.0
4898,sub011,Human,Young Drivers,quality_hum_yd_02_1,5.0
5086,sub011,Human,Young Drivers,quality_hum_yd_03_1,5.0
5274,sub011,Human,Young Drivers,quality_hum_yd_04_1,5.0
5462,sub011,Human,Young Drivers,quality_hum_yd_05_1,5.0
11,sub012,AI,Migrant Workers,quality_ai_mw_01_1,4.0
199,sub012,AI,Migrant Workers,quality_ai_mw_02_1,4.0
387,sub012,AI,Migrant Workers,quality_ai_mw_03_1,4.0
575,sub012,AI,Migrant Workers,quality_ai_mw_04_1,4.0
763,sub012,AI,Migrant Workers,quality_ai_mw_05_1,4.0
951,sub012,AI,Women Drivers,quality_ai_wd_01_1,4.0
1139,sub012,AI,Women Drivers,quality_ai_wd_02_1,4.0
1327,sub012,AI,Women Drivers,quality_ai_wd_03_1,4.0
1515,sub012,AI,Women Drivers,quality_ai_wd_04_1,4.0
1703,sub012,AI,Women Drivers,quality_ai_wd_05_1,4.0
1891,sub012,AI,Young Drivers,quality_ai_yd_01_1,4.0
2079,sub012,AI,Young Drivers,quality_ai_yd_02_1,4.0
2267,sub012,AI,Young Drivers,quality_ai_yd_03_1,4.0
2455,sub012,AI,Young Drivers,quality_ai_yd_04_1,4.0
2643,sub012,AI,Young Drivers,quality_ai_yd_05_1,4.0
2831,sub012,Human,Migrant Workers,quality_hum_mw_01_1,4.0
3019,sub012,Human,Migrant Workers,quality_hum_mw_02_1,
3207,sub012,Human,Migrant Workers,quality_hum_mw_03_1,4.0
3395,sub012,Human,Migrant Workers,quality_hum_mw_04_1,4.0
3583,sub012,Human,Migrant Workers,quality_hum_mw_05_1,4.0
3771,sub012,Human,Women Drivers,quality_hum_wd_01_1,4.0
3959,sub012,Human,Women Drivers,quality_hum_wd_02_1,4.0
4147,sub012,Human,Women Drivers,quality_hum_wd_03_1,4.0
4335,sub012,Human,Women Drivers,quality_hum_wd_04_1,4.0
4523,sub012,Human,Women Drivers,quality_hum_wd_05_1,4.0
4711,sub012,Human,Young Drivers,quality_hum_yd_01_1,4.0
4899,sub012,Human,Young Drivers,quality_hum_yd_02_1,4.0
5087,sub012,Human,Young Drivers,quality_hum_yd_03_1,4.0
5275,sub012,Human,Young Drivers,quality_hum_yd_04_1,4.0
5463,sub012,Human,Young Drivers,quality_hum_yd_05_1,4.0
12,sub013,AI,Migrant Workers,quality_ai_mw_01_1,1.0
200,sub013,AI,Migrant Workers,quality_ai_mw_02_1,5.0
388,sub013,AI,Migrant Workers,quality_ai_mw_03_1,5.0
576,sub013,AI,Migrant Workers,quality_ai_mw_04_1,3.0
764,sub013,AI,Migrant Workers,quality_ai_mw_05_1,4.0
952,sub013,AI,Women Drivers,quality_ai_wd_01_1,5.0
1140,sub013,AI,Women Drivers,quality_ai_wd_02_1,5.0
1328,sub013,AI,Women Drivers,quality_ai_wd_03_1,3.0
1516,sub013,AI,Women Drivers,quality_ai_wd_04_1,3.0
1704,sub013,AI,Women Drivers,quality_ai_wd_05_1,1.0
1892,sub013,AI,Young Drivers,quality_ai_yd_01_1,3.0
2080,sub013,AI,Young Drivers,quality_ai_yd_02_1,3.0
2268,sub013,AI,Young Drivers,quality_ai_yd_03_1,4.0
2456,sub013,AI,Young Drivers,quality_ai_yd_04_1,3.0
2644,sub013,AI,Young Drivers,quality_ai_yd_05_1,1.0
2832,sub013,Human,Migrant Workers,quality_hum_mw_01_1,5.0
3020,sub013,Human,Migrant Workers,quality_hum_mw_02_1,
3208,sub013,Human,Migrant Workers,quality_hum_mw_03_1,1.0
3396,sub013,Human,Migrant Workers,quality_hum_mw_04_1,5.0
3584,sub013,Human,Migrant Workers,quality_hum_mw_05_1,3.0
3772,sub013,Human,Women Drivers,quality_hum_wd_01_1,2.0
3960,sub013,Human,Women Drivers,quality_hum_wd_02_1,4.0
4148,sub013,Human,Women Drivers,quality_hum_wd_03_1,1.0
4336,sub013,Human,Women Drivers,quality_hum_wd_04_1,4.0
4524,sub013,Human,Women Drivers,quality_hum_wd_05_1,3.0
4712,sub013,Human,Young Drivers,quality_hum_yd_01_1,2.0
4900,sub013,Human,Young Drivers,quality_hum_yd_02_1,2.0
5088,sub013,Human,Young Drivers,quality_hum_yd_03_1,3.0
5276,sub013,Human,Young Drivers,quality_hum_yd_04_1,2.0
5464,sub013,Human,Young Drivers,quality_hum_yd_05_1,5.0
13,sub014,AI,Migrant Workers,quality_ai_mw_01_1,5.0
201,sub014,AI,Migrant Workers,quality_ai_mw_02_1,3.0
389,sub014,AI,Migrant Workers,quality_ai_mw_03_1,4.0
577,sub014,AI,Migrant Workers,quality_ai_mw_04_1,4.0
765,sub014,AI,Migrant Workers,quality_ai_mw_05_1,4.0
953,sub014,AI,Women Drivers,quality_ai_wd_01_1,3.0
1141,sub014,AI,Women Drivers,quality_ai_wd_02_1,4.0
1329,sub014,AI,Women Drivers,quality_ai_wd_03_1,2.0
1517,sub014,AI,Women Drivers,quality_ai_wd_04_1,4.0
1705,sub014,AI,Women Drivers,quality_ai_wd_05_1,2.0
1893,sub014,AI,Young Drivers,quality_ai_yd_01_1,3.0
2081,sub014,AI,Young Drivers,quality_ai_yd_02_1,1.0
2269,sub014,AI,Young Drivers,quality_ai_yd_03_1,3.0
2457,sub014,AI,Young Drivers,quality_ai_yd_04_1,3.0
2645,sub014,AI,Young Drivers,quality_ai_yd_05_1,3.0
2833,sub014,Human,Migrant Workers,quality_hum_mw_01_1,5.0
3021,sub014,Human,Migrant Workers,quality_hum_mw_02_1,
3209,sub014,Human,Migrant Workers,quality_hum_mw_03_1,4.0
3397,sub014,Human,Migrant Workers,quality_hum_mw_04_1,5.0
