Duration (in seconds),Finished,UserLanguage,clarity_ai_mw_01_1,clarity_ai_mw_02_1,clarity_ai_mw_03_1,clarity_ai_mw_04_1,clarity_ai_mw_05_1,clarity_ai_wd_01_1,clarity_ai_wd_02_1,clarity_ai_wd_03_1,clarity_ai_wd_04_1,clarity_ai_wd_05_1,clarity_ai_yd_01_1,clarity_ai_yd_02_1,clarity_ai_yd_03_1,clarity_ai_yd_04_1,clarity_ai_yd_05_1,AVERAGECLARITY_AI,clarity_hum_mw_01_1,clarity_hum_mw_02_1,clarity_hum_mw_03_1,clarity_hum_mw_04_1,clarity_hum_mw_05_1,clarity_hum_wd_01_1,clarity_hum_wd_02_1,clarity_hum_wd_03_1,clarity_hum_wd_04_1,clarity_hum_wd_05_1,clarity_hum_yd_01_1,clarity_hum_yd_02_1,clarity_hum_yd_03_1,clarity_hum_yd_04_1,clarity_hum_yd_05_1,AVERAGECLARITY_HUMAN,quality_ai_mw_01_1,quality_ai_mw_02_1,quality_ai_mw_03_1,quality_ai_mw_04_1,quality_ai_mw_05_1,quality_ai_wd_01_1,quality_ai_wd_02_1,quality_ai_wd_03_1,quality_ai_wd_04_1,quality_ai_wd_05_1,quality_ai_yd_01_1,quality_ai_yd_02_1,quality_ai_yd_03_1,quality_ai_yd_04_1,quality_ai_yd_05_1,AVERAGE_QUALITY_AI,quality_hum_mw_01_1,quality_hum_mw_02_1,quality_hum_mw_03_1,quality_hum_mw_04_1,quality_hum_mw_05_1,quality_hum_wd_01_1,quality_hum_wd_02_1,quality_hum_wd_03_1,quality_hum_wd_04_1,quality_hum_wd_05_1,quality_hum_yd_01_1,quality_hum_yd_02_1,quality_hum_yd_03_1,quality_hum_yd_04_1,quality_hum_yd_05_1,AVERAGE_QUALITY_HUMAN,age,young_binary,gender_1man_2woman,woman_binary,man_binary,nationality,migrant_binary,work,work_binary,car_driving,driving_binary,women_driver_status,migrant_worker_status,young_driver_status
359,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,2,5,4.79,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,1,2,1,,UAE,0,job,1,1,1,1,0,1
363,0,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,0,,,,non-UAE,1,job,1,,,0,0,0
363,1,EN,1,3,4,1,5,4,5,4,1,2,5,1,5,4,1,3.07,5,5,1,1,5,3,5,3,3,,1,3,5,4,1,3.21,1,5,5,3,4,5,5,3,3,1,3,3,4,3,1,3.27,5,,1,5,3,2,4,1,4,3,2,2,3,2,5,3,19,1,2,1,,non-UAE,1,student,0,0.2,1,1,0,1
366,1,EN,5,1,5,2,2,3,2,5,2,5,4,3,3,2,5,3.27,4,3,1,4,5,3,5,4,5,,4,2,2,2,3,3.36,5,3,4,4,4,3,4,2,4,2,3,1,3,3,3,3.2,5,,4,5,5,5,1,2,4,5,3,4,4,3,4,3.86,21,1,1,,1,UAE,0,student,0,3,1,0,0,1
367,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,1,2,1,,UAE,0,job,1,1,1,1,0,1
367,1,EN,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,4.67,5,5,5,5,5,5,5,4,5,,5,5,3,5,5,4.79,4,3,4,4,5,4,4,4,4,4,4,4,4,4,3,3.93,4,,5,4,4,4,5,4,4,4,4,3,4,4,4,4.07,20,1,2,1,,UAE,0,job,1,,,0,0,0
375,1,EN,3,4,5,4,3,5,3,5,4,5,3,4,4,4,5,4.07,4,3,5,4,4,5,5,4,3,,4,4,3,4,4,4,4,4,4,4,4,5,3,4,4,5,4,4,4,4,4,4.07,5,,4,3,4,3,5,5,5,4,5,4,4,4,3,4.14,,0,2,1,,UAE,0,student,0,1,1,1,0,0
377,1,EN,5,5,5,5,5,4,5,1,4,4,5,5,1,5,5,4.27,5,5,5,5,5,4,5,5,5,,5,5,4,3,5,4.71,4,4,4,4,5,5,5,5,4,5,5,4,5,5,5,4.6,5,,5,5,5,5,4,5,5,5,5,5,5,4,5,4.86,,0,2,1,,UAE,0,student,0,1,1,1,0,0
380,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,1,2,1,,UAE,0,student,0,-99,0,0,0,0
381,1,EN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,1,1,,1,UAE,0,student,0,3,1,0,0,1
385,1,EN,4,4,4,3,3,4,4,3,1,4,4,4,5,5,5,3.8,5,4,2,3,4,5,3,4,5,,3,4,5,3,4,3.86,4,5,4,5,4,3,5,4,4,5,1,4,2,3,5,3.87,5,,2,4,5,5,4,5,5,5,5,3,5,3,5,4.36,46,0,1,,1,non-UAE,1,job,1,30,1,0,1,0
388,1,EN,3,5,3,4,4,1,3,4,2,2,1,3,2,2,3,2.8,1,5,4,1,3,1,3,1,3,,2,3,4,3,4,2.71,2,4,2,3,2,5,4,3,2,4,1,4,5,4,3,3.2,5,,3,4,5,3,1,5,1,4,1,3,5,3,5,3.43,20,1,2,1,,non-UAE,1,job,1,,,0,0,0
393,1,EN,4,2,4,3,1,3,1,1,3,3,5,3,1,3,2,2.6,3,5,4,3,5,2,4,3,3,,3,1,4,1,1,3,4,2,3,1,2,4,4,5,4,4,3,2,5,3,4,3.33,2,,2,1,4,1,5,3,2,2,3,3,5,2,2,2.64,19,1,2,1,,non-UAE,1,job,1,1,1,1,1,1
403,0,EN,5,4,4,3,3,3,2,2,5,5,3,3,3,3,3,3.4,3,4,5,5,5,5,5,5,4,,5,5,5,5,5,4.71,3,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non-UAE,1,job,1,,,0,0,0
404,1,EN,4,5,2,5,2,3,5,5,5,2,4,5,4,3,5,3.93,3,5,4,2,5,4,5,2,1,,2,3,3,4,1,3.14,5,1,2,1,2,1,1,1,5,1,2,1,1,4,2,2,5,,1,4,4,3,3,1,5,4,5,1,2,1,4,3.07,,0,1,,1,UAE,0,student,0,3,1,0,0,0
406,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,0,,,,non-UAE,1,job,1,,,0,0,0
411,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,0,1,,1,UAE,0,student,0,3,1,0,0,0
413,1,EN,4,3,3,1,3,5,4,3,2,2,2,1,3,3,3,2.8,3,3,3,3,5,5,3,1,5,,3,5,1,3,3,3.29,4,3,3,3,4,3,3,3,2,2,3,3,3,3,3,3,5,,3,2,3,5,1,3,3,3,5,3,3,4,4,3.36,,0,2,1,,UAE,0,student,0,4,1,1,0,0
419,1,EN,3,4,5,3,2,1,2,2,2,2,4,3,2,2,3,2.67,4,4,2,3,1,1,1,2,3,,3,2,2,1,4,2.36,3,3,1,2,2,2,4,1,2,1,1,1,2,5,4,2.27,4,,1,2,3,1,1,1,3,5,3,1,1,1,4,2.21,,0,2,1,,UAE,0,job,1,3,1,1,0,0
420,1,EN,3,3,3,3,3,3,5,3,3,3,3,3,4,3,3,3.2,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,1,1,,1,UAE,0,student,0,3,1,0,0,1
427,0,EN,4,5,4,3,4,5,5,4,5,3,4,3,4,5,3,4.07,4,2,5,5,5,4,4,4,5,,5,3,5,5,5,4.36,5,2,4,5,5,4,2,4,3,3,5,5,4,5,3,3.93,5,,4,2,4,5,4,5,4,5,3,3,4,3,3,3.86,21,1,2,1,,UAE,0,student,0,-99,0,0,0,0
436,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,1,2,1,,UAE,0,student,0,,,0,0,0
436,1,EN,2,3,2,2,2,2,3,2,3,3,1,1,4,1,3,2.27,1,4,2,4,2,1,5,1,1,,3,2,2,3,4,2.5,3,4,3,2,2,4,2,4,2,2,5,2,3,4,3,3,3,,4,2,4,4,3,2,5,2,2,2,3,3,4,3.07,,0,1,,1,UAE,0,job,1,,,0,0,0
440,1,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,4,5,5,4,4,4,5,5,4,4,4,4,4,4,5,4.33,5,,4,5,4,4,4,5,5,5,4,5,4,4,4,4.43,,0,2,1,,non-UAE,1,job,1,,,0,0,0
441,1,EN,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,4.6,3,3,5,3,5,5,5,5,5,,5,3,5,5,5,4.43,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,1,2,1,,UAE,0,student,0,4,1,1,0,1
443,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,,5,5,5,1,5,4.43,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,1,2,1,,UAE,0,student,0,1,1,1,0,1
443,1,EN,2,2,3,1,2,3,3,3,2,2,4,2,2,3,4,2.53,5,2,2,5,4,5,4,2,5,,3,5,2,3,5,3.71,5,4,3,3,3,4,3,4,4,3,3,4,4,3,4,3.6,5,,4,4,4,5,4,4,4,3,4,4,3,4,5,4.07,,0,1,,1,UAE,0,student,0,2,1,0,0,0
451,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,1,2,1,,UAE,0,job,1,0.6,1,1,0,1
458,1,EN,5,3,5,3,5,5,4,3,5,5,5,1,3,3,3,3.87,5,3,5,3,3,5,3,1,2,,3,3,4,1,5,3.29,5,5,3,5,3,3,5,3,5,3,3,3,3,3,3,3.67,3,,5,3,3,3,4,3,5,5,2,5,3,3,4,3.64,19,1,2,1,,UAE,0,student,0,2,1,1,0,1
472,1,EN,5,4,4,3,4,4,4,4,4,5,4,4,4,5,4,4.13,5,5,5,5,5,5,5,4,4,,5,4,4,5,5,4.71,5,5,4,5,5,5,5,5,4,5,4,4,4,4,4,4.53,4,,5,4,5,5,5,4,5,5,4,4,4,5,4,4.5,23,0,2,1,,UAE,0,job,1,1,1,1,0,0
475,0,EN,4,3,3,4,3,3,4,4,3,3,3,3,4,3,4,3.4,3,4,3,3,3,3,3,3,3,,4,3,3,3,5,3.29,4,4,5,5,5,4,4,3,4,5,5,4,5,5,4,4.4,4,,5,5,5,3,5,4,3,5,4,5,4,5,4,4.36,,0,,,,non-UAE,1,job,1,,,0,0,0
479,1,EN,5,3,5,5,5,5,5,4,5,5,5,3,5,3,4,4.47,5,5,1,5,5,5,2,2,3,,4,5,5,2,4,3.79,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,4,4.93,20,1,2,1,,UAE,0,student,0,-99,0,0,0,0
485,1,EN,1,3,3,3,3,1,3,3,1,1,1,3,3,3,4,2.4,3,1,3,1,3,3,3,3,3,,3,3,3,1,1,2.43,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4.93,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,0,1,,1,non-UAE,1,job,1,,,0,0,0
494,1,EN,1,1,3,3,2,1,1,3,3,3,3,4,3,5,5,2.73,5,4,1,2,3,3,1,1,5,,3,1,1,5,3,2.71,5,5,4,4,4,3,3,4,4,5,2,4,4,5,4,4,3,,2,1,3,5,4,3,2,5,5,4,2,3,3,3.21,19,1,2,1,,UAE,0,job,1,,,0,0,0
497,1,EN,5,4,3,2,2,4,4,2,3,4,3,3,3,4,3,3.27,4,5,3,4,4,4,3,4,5,,5,5,3,4,3,4,5,5,4,3,5,2,2,4,4,4,3,4,3,1,5,3.6,4,,2,1,3,2,3,5,5,3,5,3,2,5,1,3.14,18,1,1,,1,non-UAE,1,student,0,-99,0,0,0,0
498,1,EN,3,3,4,4,3,1,1,2,1,1,1,2,4,1,4,2.33,5,2,3,2,4,4,1,1,5,,3,1,1,4,5,2.93,1,1,1,5,5,1,3,1,1,1,1,1,5,1,4,2.13,5,,1,1,4,1,1,1,5,5,1,1,5,1,5,2.64,,0,2,1,,UAE,0,job,1,3,1,1,0,0
499,1,EN,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4.87,5,5,5,5,5,5,5,5,5,,5,1,5,5,5,4.71,5,2,3,5,1,1,1,2,5,5,1,1,4,3,5,2.93,5,,1,5,3,5,2,4,2,3,3,5,5,1,5,3.5,18,1,2,1,,UAE,0,job,1,1,1,1,0,1
502,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,0,1,,1,UAE,0,job,1,10,1,0,0,0
503,1,EN,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4.93,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4.87,5,,3,5,4,5,5,5,5,5,4,3,5,5,5,4.57,,0,3,,,non-UAE,1,job,1,,,0,0,0
505,1,EN,3,3,3,3,3,5,3,3,4,2,4,4,3,5,3,3.4,5,3,3,4,4,4,4,3,4,,3,3,2,3,3,3.43,4,5,5,3,4,3,4,4,4,5,3,3,4,4,4,3.93,5,,3,3,4,3,4,4,4,4,4,4,3,3,4,3.71,19,1,2,1,,UAE,0,student,0,-99,0,0,0,0
513,1,EN,5,5,3,3,5,5,3,5,5,3,3,3,3,5,5,4.07,3,5,5,3,5,3,4,3,5,,3,3,4,5,5,4,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,4.8,5,,5,5,5,5,5,4,5,5,5,3,5,5,5,4.79,26,0,1,,1,UAE ,1,job,1,8,1,0,1,0
519,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,2,5,5,5,5,5,4,5,4.71,20,1,2,1,,UAE,0,student,0,3,1,1,0,1
519,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,36,0,1,,1,non-UAE,1,student,0,15,1,0,0,0
523,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4.87,5,,5,5,5,5,3,5,5,5,5,2,5,5,5,4.64,,0,1,,1,UAE,0,student,0,1,1,0,0,0
527,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,4,5,5,4.73,5,,4,5,5,5,5,4,5,5,5,5,5,5,5,4.86,19,1,2,1,,UAE,0,student,0,-99,0,0,0,0
529,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4.93,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,1,2,1,,UAE,0,job,1,2,1,1,0,1
532,1,EN,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4.93,5,5,5,5,5,5,5,5,5,,4,4,5,5,5,4.86,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,4,3,5,5,5,5,2,5,5,5,4.57,18,1,2,1,,UAE,0,student,0,1,1,1,0,1
536,1,EN,5,3,2,3,4,5,3,5,5,3,4,4,5,2,5,3.87,3,3,3,2,4,5,1,3,3,,4,2,4,4,5,3.29,5,4,4,4,4,5,5,4,5,4,5,5,4,5,5,4.53,4,,4,4,5,5,4,5,4,5,4,5,4,5,5,4.5,19,1,1,,1,non-UAE,1,job,1,2,1,0,1,1
537,1,EN,5,5,4,5,4,4,5,5,4,5,4,5,5,4,4,4.53,5,5,5,5,5,5,3,5,5,,5,3,4,2,5,4.43,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,4.8,5,,4,4,4,5,4,5,5,5,5,5,5,4,5,4.64,19,1,2,1,,UAE,0,job,1,-99,0,0,0,0
544,1,EN,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,4.8,4,3,5,3,5,3,5,5,5,,5,4,5,5,5,4.43,5,5,5,5,4,5,4,3,5,5,5,5,5,5,5,4.73,5,,5,5,5,5,5,4,5,5,4,4,5,5,4,4.71,18,1,2,1,,UAE,0,student,0,0.2,1,1,0,1
545,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4.93,5,,5,5,5,4,5,5,5,5,4,5,5,5,5,4.86,23,0,1,,1,UAE,0,student,0,3,1,0,0,0
547,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,1,2,1,,UAE ,1,student,0,2,1,1,0,1
554,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,,5,5,5,5,5,4.71,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,1,,,,non-UAE,1,job,1,-99,0,0,0,0
558,1,EN,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4.87,5,5,5,5,5,5,5,4,5,,5,5,5,5,5,4.93,4,4,4,5,5,5,5,4,4,5,5,3,4,3,5,4.33,5,,4,5,3,2,5,2,5,3,4,5,3,5,5,4,19,1,2,1,,UAE ,1,job,1,2,1,1,1,1
563,1,EN,5,3,1,3,3,5,4,2,1,2,5,1,5,5,5,3.33,5,4,5,5,5,5,1,5,5,,5,1,5,5,5,4.36,5,5,5,2,4,5,2,2,5,4,2,4,1,4,3,3.53,4,,4,4,5,5,5,5,3,5,5,2,5,5,5,4.43,19,1,2,1,,UAE ,1,student,0,2,1,1,0,1
565,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,1,1,,1,UAE ,1,student,0,2,1,0,0,1
569,1,EN,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.73,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,1,2,1,,UAE ,1,student,0,0.5,1,1,0,1
580,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22,0,1,,1,UAE ,1,job,1,4,1,0,1,0
590,1,EN,5,3,5,5,5,5,5,5,2,5,5,5,5,5,3,4.53,5,5,3,1,3,5,5,3,5,,5,4,4,3,5,4,5,5,4,4,5,3,4,5,5,5,5,5,5,5,5,4.67,4,,5,4,4,3,4,4,4,4,4,4,3,5,4,4,21,1,2,1,,UAE,0,job,1,3,1,1,0,1
593,1,EN,5,4,5,4,3,4,4,3,5,3,5,5,5,3,4,4.13,3,5,5,3,4,3,5,5,4,,5,5,3,4,4,4.14,4,5,5,4,4,5,5,5,4,4,4,4,4,4,4,4.33,4,,4,5,4,5,4,4,4,5,4,3,4,4,5,4.21,22,0,1,,1,UAE ,1,student,0,5,1,0,0,0
599,1,EN,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4.93,5,5,5,5,5,5,3,5,5,,5,5,5,5,5,4.86,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,4,5,5,5,5,5,5,4,5,4.86,22,0,2,1,,UAE ,1,job,1,1,1,1,1,0
600,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,1,2,1,,UAE,0,student,0,1,1,1,0,1
