index,sub_index,source,theme,all_messages,message_evaluation
3404,sub012,Human,Young Drivers,clarity_hum_yd_05_1,4
12,sub013,AI,Migrant Workers,clarity_ai_mw_01_1 ,4
129,sub013,AI,Migrant Workers,clarity_ai_mw_02_1,5
246,sub013,AI,Migrant Workers,clarity_ai_mw_03_1,1
363,sub013,AI,Migrant Workers,clarity_ai_mw_04_1,5
480,sub013,AI,Migrant Workers,clarity_ai_mw_05_1,4
597,sub013,AI,Women Drivers,clarity_ai_wd_01_1,1
714,sub013,AI,Women Drivers,clarity_ai_wd_02_1,4
831,sub013,AI,Women Drivers,clarity_ai_wd_03_1,1
948,sub013,AI,Women Drivers,clarity_ai_wd_04_1,4
1065,sub013,AI,Women Drivers,clarity_ai_wd_05_1,1
1182,sub013,AI,Young Drivers,clarity_ai_yd_01_1,1
1299,sub013,AI,Young Drivers,clarity_ai_yd_02_1,4
1416,sub013,AI,Young Drivers,clarity_ai_yd_03_1,4
1533,sub013,AI,Young Drivers,clarity_ai_yd_04_1,4
1650,sub013,AI,Young Drivers,clarity_ai_yd_05_1,1
1767,sub013,Human,Migrant Workers,clarity_hum_mw_01_1,5
1884,sub013,Human,Migrant Workers,clarity_hum_mw_02_1,5
2001,sub013,Human,Migrant Workers,clarity_hum_mw_03_1,2
2118,sub013,Human,Migrant Workers,clarity_hum_mw_04_1,1
2235,sub013,Human,Migrant Workers,clarity_hum_mw_05_1,5
2352,sub013,Human,Women Drivers,clarity_hum_wd_01_1,5
2469,sub013,Human,Women Drivers,clarity_hum_wd_02_1,4
2586,sub013,Human,Women Drivers,clarity_hum_wd_03_1,1
2703,sub013,Human,Women Drivers,clarity_hum_wd_04_1,5
2820,sub013,Human,Women Drivers,clarity_hum_wd_05_1,5
2937,sub013,Human,Young Drivers,clarity_hum_yd_01_1,1
3054,sub013,Human,Young Drivers,clarity_hum_yd_02_1,4
3171,sub013,Human,Young Drivers,clarity_hum_yd_03_1,1
3288,sub013,Human,Young Drivers,clarity_hum_yd_04_1,1
3405,sub013,Human,Young Drivers,clarity_hum_yd_05_1,4
13,sub014,AI,Migrant Workers,clarity_ai_mw_01_1 ,5
130,sub014,AI,Migrant Workers,clarity_ai_mw_02_1,5
247,sub014,AI,Migrant Workers,clarity_ai_mw_03_1,5
364,sub014,AI,Migrant Workers,clarity_ai_mw_04_1,5
481,sub014,AI,Migrant Workers,clarity_ai_mw_05_1,5
598,sub014,AI,Women Drivers,clarity_ai_wd_01_1,5
715,sub014,AI,Women Drivers,clarity_ai_wd_02_1,5
832,sub014,AI,Women Drivers,clarity_ai_wd_03_1,5
949,sub014,AI,Women Drivers,clarity_ai_wd_04_1,5
1066,sub014,AI,Women Drivers,clarity_ai_wd_05_1,5
1183,sub014,AI,Young Drivers,clarity_ai_yd_01_1,5
1300,sub014,AI,Young Drivers,clarity_ai_yd_02_1,5
1417,sub014,AI,Young Drivers,clarity_ai_yd_03_1,4
1534,sub014,AI,Young Drivers,clarity_ai_yd_04_1,5
1651,sub014,AI,Young Drivers,clarity_ai_yd_05_1,5
1768,sub014,Human,Migrant Workers,clarity_hum_mw_01_1,5
1885,sub014,Human,Migrant Workers,clarity_hum_mw_02_1,5
2002,sub014,Human,Migrant Workers,clarity_hum_mw_03_1,5
2119,sub014,Human,Migrant Workers,clarity_hum_mw_04_1,5
2236,sub014,Human,Migrant Workers,clarity_hum_mw_05_1,5
2353,sub014,Human,Women Drivers,clarity_hum_wd_01_1,5
2470,sub014,Human,Women Drivers,clarity_hum_wd_02_1,5
2587,sub014,Human,Women Drivers,clarity_hum_wd_03_1,5
2704,sub014,Human,Women Drivers,clarity_hum_wd_04_1,5
2821,sub014,Human,Women Drivers,clarity_hum_wd_05_1,5
2938,sub014,Human,Young Drivers,clarity_hum_yd_01_1,5
3055,sub014,Human,Young Drivers,clarity_hum_yd_02_1,5
3172,sub014,Human,Young Drivers,clarity_hum_yd_03_1,4
3289,sub014,Human,Young Drivers,clarity_hum_yd_04_1,5
3406,sub014,Human,Young Drivers,clarity_hum_yd_05_1,5
14,sub015,AI,Migrant Workers,clarity_ai_mw_01_1 ,5
